Customer_ID,Complaint_Date,State,City,Customer_Segment,Complaint_Flag,Complaint_Category,Complaint_Status,Resolution_Time_Hours,Customer_Satisfaction,NPS_Score
AIR102940,2025-04-15,Kerala,Kerala City 3,Broadband,1,Network Issues,Pending,12.8,3.16,3
AIR102941,2025-05-15,Tamil Nadu,Tamil Nadu City 2,Enterprise,0,Call Drops,No Complaint,39,3.53,17
AIR102942,2025-06-15,Uttar Pradesh,Uttar Pradesh City 2,Prepaid,0,Network Issues,No Complaint,10.4,3.35,-6
AIR102943,2025-07-15,Telangana,Telangana City 2,Prepaid,1,Slow Internet,In Progress,25,3.44,13
AIR102944,2025-08-15,Uttar Pradesh,Uttar Pradesh City 2,Prepaid,0,Slow Internet,No Complaint,5,3.92,34
AIR102945,2025-09-15,Kerala,Kerala City 1,Prepaid,1,Billing Issues,In Progress,35.8,3.64,23
AIR102946,2025-10-15,West Bengal,West Bengal City 1,Postpaid,0,Slow Internet,No Complaint,24.5,3.02,14
AIR102947,2025-11-15,Rajasthan,Rajasthan City 2,Broadband,0,Billing Issues,No Complaint,37.8,3.56,28
AIR102948,2025-12-15,Telangana,Telangana City 3,Prepaid,0,Network Issues,No Complaint,12.1,3.58,19
AIR102949,2025-02-15,Telangana,Telangana City 2,Postpaid,0,Slow Internet,No Complaint,10.7,3.66,24
AIR102950,2025-03-15,Tamil Nadu,Tamil Nadu City 1,Postpaid,1,Network Issues,In Progress,7.8,3.2,15
AIR102951,2025-04-15,Delhi,Delhi City 2,Prepaid,0,Billing Issues,No Complaint,23.2,3.43,3
AIR102952,2025-05-15,Karnataka,Karnataka City 1,Postpaid,0,Slow Internet,No Complaint,22,3.31,-3
AIR102953,2025-06-15,Karnataka,Karnataka City 2,Postpaid,1,Slow Internet,In Progress,35.9,3.63,13
AIR102954,2025-07-15,Karnataka,Karnataka City 3,Broadband,0,Slow Internet,No Complaint,11.5,2.72,-17
AIR102955,2025-08-15,Delhi,Delhi City 2,Postpaid,0,Billing Issues,No Complaint,9.7,4.23,45
AIR102956,2025-09-15,Tamil Nadu,Tamil Nadu City 3,Postpaid,0,Others,No Complaint,15.2,3.58,10
AIR102957,2025-10-15,Delhi,Delhi City 3,Prepaid,1,Slow Internet,Resolved,13.7,4.07,50
AIR102958,2025-11-15,Karnataka,Karnataka City 2,Prepaid,0,Call Drops,No Complaint,4.7,3.44,23
AIR102959,2025-12-15,Kerala,Kerala City 3,Prepaid,0,Call Drops,No Complaint,2.1,3.68,15
AIR102960,2025-02-15,Maharashtra,Maharashtra City 3,Prepaid,1,Slow Internet,Resolved,33.2,2.91,-3
AIR102961,2025-03-15,West Bengal,West Bengal City 1,Prepaid,0,Others,No Complaint,5,4.08,43
AIR102962,2025-04-15,Delhi,Delhi City 1,Prepaid,1,Billing Issues,Resolved,17.5,3.7,24
AIR102963,2025-05-15,Tamil Nadu,Tamil Nadu City 3,Postpaid,0,Network Issues,No Complaint,8,2.97,-16
AIR102964,2025-06-15,Tamil Nadu,Tamil Nadu City 2,Postpaid,0,Slow Internet,No Complaint,30.3,3.93,25
AIR102965,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,Prepaid,0,Call Drops,No Complaint,28.3,3.92,38
AIR102966,2025-08-15,Maharashtra,Maharashtra City 2,Prepaid,0,Billing Issues,No Complaint,58.3,4.64,58
AIR102967,2025-09-15,Rajasthan,Rajasthan City 1,Postpaid,0,Call Drops,No Complaint,31.6,3.31,-2
AIR102968,2025-10-15,Telangana,Telangana City 2,Prepaid,1,Call Drops,Resolved,8.4,3.18,14
AIR102969,2025-11-15,Karnataka,Karnataka City 3,Prepaid,1,Network Issues,In Progress,4.3,3.5,23
AIR102970,2025-12-15,Rajasthan,Rajasthan City 3,Postpaid,0,Slow Internet,No Complaint,7.1,3.95,31
AIR102971,2025-02-15,Uttar Pradesh,Uttar Pradesh City 3,Prepaid,1,Network Issues,Resolved,30.5,3.28,18
AIR102972,2025-03-15,Karnataka,Karnataka City 3,Prepaid,1,Slow Internet,Resolved,17.8,3.92,26
AIR102973,2025-04-15,Maharashtra,Maharashtra City 3,Prepaid,1,Billing Issues,In Progress,15.1,4.3,42
AIR102974,2025-05-15,Uttar Pradesh,Uttar Pradesh City 2,Prepaid,0,Slow Internet,No Complaint,26.1,3.92,36
AIR102975,2025-06-15,Karnataka,Karnataka City 3,Enterprise,0,Call Drops,No Complaint,13.8,3.32,5
AIR102976,2025-07-15,Maharashtra,Maharashtra City 1,Prepaid,0,Call Drops,No Complaint,6.5,3.62,24
AIR102977,2025-08-15,Gujarat,Gujarat City 3,Postpaid,0,Billing Issues,No Complaint,23.4,3.01,-3
AIR102978,2025-09-15,Rajasthan,Rajasthan City 2,Postpaid,0,Network Issues,No Complaint,3.7,3.37,22
AIR102979,2025-10-15,Rajasthan,Rajasthan City 3,Prepaid,0,Others,No Complaint,8.8,3.42,9
AIR102980,2025-11-15,Telangana,Telangana City 3,Prepaid,1,Slow Internet,Resolved,7,3.98,48
AIR102981,2025-12-15,Maharashtra,Maharashtra City 2,Broadband,0,Network Issues,No Complaint,20.9,2.79,-25
AIR102982,2025-02-15,Delhi,Delhi City 3,Broadband,0,Slow Internet,No Complaint,17.7,3.94,39
AIR102983,2025-03-15,Gujarat,Gujarat City 2,Prepaid,0,Network Issues,No Complaint,17.5,3.63,13
AIR102984,2025-04-15,Kerala,Kerala City 3,Prepaid,0,Network Issues,No Complaint,17.9,3.3,16
AIR102985,2025-05-15,Karnataka,Karnataka City 1,Postpaid,0,Slow Internet,No Complaint,41.2,3.33,-3
AIR102986,2025-06-15,Gujarat,Gujarat City 3,Prepaid,0,Network Issues,No Complaint,25.4,3.69,22
AIR102987,2025-07-15,Maharashtra,Maharashtra City 2,Prepaid,0,Network Issues,No Complaint,11.8,3.81,38
AIR102988,2025-08-15,West Bengal,West Bengal City 1,Prepaid,0,Network Issues,No Complaint,31.4,4.09,35
AIR102989,2025-09-15,Karnataka,Karnataka City 2,Prepaid,1,Slow Internet,In Progress,1.8,3.83,30
AIR102990,2025-10-15,Tamil Nadu,Tamil Nadu City 3,Prepaid,0,Network Issues,No Complaint,33.2,3.75,30
AIR102991,2025-11-15,Rajasthan,Rajasthan City 1,Postpaid,1,Slow Internet,Resolved,3.1,3.44,8
AIR102992,2025-12-15,Maharashtra,Maharashtra City 2,Postpaid,0,Slow Internet,No Complaint,7.9,4.04,45
AIR102993,2025-02-15,Tamil Nadu,Tamil Nadu City 1,Postpaid,1,Call Drops,Resolved,19.5,3.62,11
AIR102994,2025-03-15,Telangana,Telangana City 1,Prepaid,0,Call Drops,No Complaint,6.3,3.86,33
AIR102995,2025-04-15,Uttar Pradesh,Uttar Pradesh City 2,Prepaid,1,Billing Issues,Resolved,29.5,3.28,-2
AIR102996,2025-05-15,Kerala,Kerala City 1,Postpaid,0,Call Drops,No Complaint,13,3.92,32
AIR102997,2025-06-15,Kerala,Kerala City 2,Prepaid,1,Call Drops,Pending,14.9,3.79,30
AIR102998,2025-07-15,Tamil Nadu,Tamil Nadu City 1,Prepaid,0,Network Issues,No Complaint,12.7,4,64
AIR102999,2025-08-15,Rajasthan,Rajasthan City 1,Prepaid,0,Network Issues,No Complaint,32.6,3.18,15
AIR103000,2025-09-15,Telangana,Telangana City 1,Prepaid,0,Network Issues,No Complaint,7.6,3.96,19
AIR103001,2025-10-15,West Bengal,West Bengal City 3,Broadband,0,Billing Issues,No Complaint,14.3,3.31,-7
AIR103002,2025-11-15,Rajasthan,Rajasthan City 3,Postpaid,0,Network Issues,No Complaint,1.1,4.13,38
AIR103003,2025-12-15,Gujarat,Gujarat City 2,Prepaid,0,Slow Internet,No Complaint,10.9,3.65,25
AIR103004,2025-02-15,Kerala,Kerala City 1,Postpaid,0,Slow Internet,No Complaint,38.6,3.25,10
AIR103005,2025-03-15,Gujarat,Gujarat City 2,Prepaid,0,Slow Internet,No Complaint,9,3.76,33
AIR103006,2025-04-15,Karnataka,Karnataka City 3,Prepaid,1,Others,In Progress,11.9,4.75,62
AIR103007,2025-05-15,Delhi,Delhi City 3,Prepaid,0,Network Issues,No Complaint,20.5,3.06,-3
AIR103008,2025-06-15,Maharashtra,Maharashtra City 3,Postpaid,0,Network Issues,No Complaint,6.3,3.58,25
AIR103009,2025-07-15,Telangana,Telangana City 3,Prepaid,0,Slow Internet,No Complaint,1.4,3.97,34
AIR103010,2025-08-15,Rajasthan,Rajasthan City 2,Prepaid,0,Slow Internet,No Complaint,64.7,3.27,-2
AIR103011,2025-09-15,Kerala,Kerala City 1,Prepaid,0,Network Issues,No Complaint,26.5,3.8,46
AIR103012,2025-10-15,Gujarat,Gujarat City 2,Prepaid,1,Slow Internet,Resolved,16.3,4.09,31
AIR103013,2025-11-15,Uttar Pradesh,Uttar Pradesh City 1,Postpaid,0,Network Issues,No Complaint,15.4,3.48,27
AIR103014,2025-12-15,Karnataka,Karnataka City 3,Broadband,1,Network Issues,Resolved,16.8,3.46,10
AIR103015,2025-02-15,Maharashtra,Maharashtra City 1,Postpaid,0,Network Issues,No Complaint,1.8,3.2,0
AIR103016,2025-03-15,Maharashtra,Maharashtra City 3,Postpaid,0,Slow Internet,No Complaint,13.8,3.17,-14
AIR103017,2025-04-15,Rajasthan,Rajasthan City 2,Broadband,0,Slow Internet,No Complaint,1.9,3.28,3
AIR103018,2025-05-15,Telangana,Telangana City 1,Prepaid,0,Call Drops,No Complaint,32.7,3.54,3
AIR103019,2025-06-15,West Bengal,West Bengal City 2,Prepaid,0,Network Issues,No Complaint,40.1,4.21,55
AIR103020,2025-07-15,Uttar Pradesh,Uttar Pradesh City 3,Prepaid,0,Call Drops,No Complaint,11.7,2.63,-38
AIR103021,2025-08-15,Rajasthan,Rajasthan City 2,Prepaid,1,Slow Internet,Resolved,13.8,4.4,49
AIR103022,2025-09-15,Gujarat,Gujarat City 3,Prepaid,0,Call Drops,No Complaint,29,3.6,31
AIR103023,2025-10-15,Delhi,Delhi City 3,Prepaid,0,Call Drops,No Complaint,3.2,3.89,27
AIR103024,2025-11-15,Tamil Nadu,Tamil Nadu City 3,Prepaid,0,Slow Internet,No Complaint,24.4,3.73,6
AIR103025,2025-12-15,West Bengal,West Bengal City 2,Postpaid,0,Slow Internet,No Complaint,18.5,4.43,43
AIR103026,2025-02-15,Telangana,Telangana City 2,Broadband,1,Network Issues,Resolved,19.1,3.38,10
AIR103027,2025-03-15,Karnataka,Karnataka City 1,Prepaid,1,Network Issues,Resolved,25.1,3.98,22
AIR103028,2025-04-15,West Bengal,West Bengal City 1,Prepaid,0,Billing Issues,No Complaint,15.6,4.34,43
AIR103029,2025-05-15,Kerala,Kerala City 2,Postpaid,0,Network Issues,No Complaint,13.3,4.14,42
AIR103030,2025-06-15,Telangana,Telangana City 2,Prepaid,1,Others,Resolved,9.7,3.71,20
AIR103031,2025-07-15,Delhi,Delhi City 2,Prepaid,0,Call Drops,No Complaint,29,3.58,12
AIR103032,2025-08-15,Kerala,Kerala City 2,Prepaid,1,Slow Internet,Resolved,15.4,4.23,49
AIR103033,2025-09-15,West Bengal,West Bengal City 3,Postpaid,1,Call Drops,Resolved,2.8,3.38,17
AIR103034,2025-10-15,Tamil Nadu,Tamil Nadu City 3,Broadband,0,Slow Internet,No Complaint,16.7,2.64,-17
AIR103035,2025-11-15,Tamil Nadu,Tamil Nadu City 3,Postpaid,0,Call Drops,No Complaint,17.5,4.16,56
AIR103036,2025-12-15,Delhi,Delhi City 2,Prepaid,0,Network Issues,No Complaint,26.9,3.49,39
AIR103037,2025-02-15,Maharashtra,Maharashtra City 3,Prepaid,1,Network Issues,Pending,17.7,3.57,0
AIR103038,2025-03-15,Uttar Pradesh,Uttar Pradesh City 3,Prepaid,1,Slow Internet,Resolved,17,4.09,41
AIR103039,2025-04-15,Karnataka,Karnataka City 1,Broadband,0,Call Drops,No Complaint,19.2,3.45,30
AIR103040,2025-05-15,Maharashtra,Maharashtra City 1,Postpaid,0,Slow Internet,No Complaint,3.6,3.93,38
AIR103041,2025-06-15,Tamil Nadu,Tamil Nadu City 3,Prepaid,0,Call Drops,No Complaint,41,3.26,4
AIR103042,2025-07-15,Tamil Nadu,Tamil Nadu City 3,Postpaid,0,Call Drops,No Complaint,9.4,4.04,33
AIR103043,2025-08-15,Gujarat,Gujarat City 3,Prepaid,0,Slow Internet,No Complaint,3.5,3.97,57
AIR103044,2025-09-15,Kerala,Kerala City 2,Enterprise,1,Slow Internet,In Progress,17.6,3.67,19
AIR103045,2025-10-15,West Bengal,West Bengal City 1,Broadband,0,Network Issues,No Complaint,26.9,4.06,39
AIR103046,2025-11-15,Karnataka,Karnataka City 1,Prepaid,1,Call Drops,Resolved,7.3,4.03,42
AIR103047,2025-12-15,Delhi,Delhi City 1,Postpaid,0,Billing Issues,No Complaint,30.5,3.2,9
AIR103048,2025-02-15,West Bengal,West Bengal City 3,Postpaid,1,Network Issues,Resolved,20.7,4.18,44
AIR103049,2025-03-15,Gujarat,Gujarat City 2,Prepaid,0,Slow Internet,No Complaint,6.3,3.41,17
AIR103050,2025-04-15,Tamil Nadu,Tamil Nadu City 1,Postpaid,0,Slow Internet,No Complaint,18.8,3.27,15
AIR103051,2025-05-15,Delhi,Delhi City 1,Postpaid,0,Network Issues,No Complaint,16.8,3.83,23
AIR103052,2025-06-15,Tamil Nadu,Tamil Nadu City 2,Prepaid,1,Network Issues,Resolved,42.8,3.28,23
AIR103053,2025-07-15,Karnataka,Karnataka City 3,Postpaid,1,Network Issues,Resolved,34.2,3.61,19
AIR103054,2025-08-15,Kerala,Kerala City 3,Postpaid,0,Slow Internet,No Complaint,12.5,3.3,10
AIR103055,2025-09-15,West Bengal,West Bengal City 1,Prepaid,1,Others,Resolved,18,3.63,22
AIR103056,2025-10-15,West Bengal,West Bengal City 1,Prepaid,1,Slow Internet,In Progress,9.9,4.19,38
AIR103057,2025-11-15,Maharashtra,Maharashtra City 2,Postpaid,0,Network Issues,No Complaint,19.9,3.94,27
AIR103058,2025-12-15,Delhi,Delhi City 1,Prepaid,0,Billing Issues,No Complaint,25.6,3.54,3
AIR103059,2025-02-15,Uttar Pradesh,Uttar Pradesh City 2,Broadband,0,Slow Internet,No Complaint,22,3.11,21
AIR103060,2025-03-15,Gujarat,Gujarat City 1,Prepaid,0,Others,No Complaint,15.4,3.03,-13
AIR103061,2025-04-15,Uttar Pradesh,Uttar Pradesh City 1,Prepaid,0,Billing Issues,No Complaint,3.8,2.72,3
AIR103062,2025-05-15,Maharashtra,Maharashtra City 1,Prepaid,1,Network Issues,Resolved,9.6,3.44,19
AIR103063,2025-06-15,Karnataka,Karnataka City 3,Postpaid,1,Slow Internet,Pending,3.3,3.47,19
AIR103064,2025-07-15,Gujarat,Gujarat City 2,Postpaid,1,Slow Internet,Resolved,1.6,2.57,-20
AIR103065,2025-08-15,Kerala,Kerala City 2,Prepaid,0,Network Issues,No Complaint,22.1,3.94,45
AIR103066,2025-09-15,Uttar Pradesh,Uttar Pradesh City 3,Prepaid,0,Billing Issues,No Complaint,4.8,3.76,33
AIR103067,2025-10-15,Kerala,Kerala City 3,Broadband,1,Call Drops,In Progress,17.9,4.36,49
AIR103068,2025-11-15,Uttar Pradesh,Uttar Pradesh City 3,Prepaid,1,Others,Resolved,1.7,3.85,26
AIR103069,2025-12-15,Kerala,Kerala City 2,Prepaid,0,Network Issues,No Complaint,32.8,3.76,22
AIR103070,2025-02-15,Uttar Pradesh,Uttar Pradesh City 1,Prepaid,1,Slow Internet,Resolved,31.1,3.55,15
AIR103071,2025-03-15,Kerala,Kerala City 3,Prepaid,1,Network Issues,Resolved,15.1,3.8,3
AIR103072,2025-04-15,Maharashtra,Maharashtra City 3,Prepaid,0,Call Drops,No Complaint,13,3.58,29
AIR103073,2025-05-15,Telangana,Telangana City 3,Prepaid,1,Slow Internet,Resolved,12.5,2.97,-2
AIR103074,2025-06-15,Gujarat,Gujarat City 1,Prepaid,0,Billing Issues,No Complaint,33.2,3.11,2
AIR103075,2025-07-15,Delhi,Delhi City 1,Broadband,0,Call Drops,No Complaint,20.1,3.38,-2
AIR103076,2025-08-15,Karnataka,Karnataka City 3,Prepaid,1,Slow Internet,Resolved,28.7,3.49,2
AIR103077,2025-09-15,Rajasthan,Rajasthan City 1,Postpaid,1,Network Issues,Resolved,9.8,3.91,59
AIR103078,2025-10-15,Tamil Nadu,Tamil Nadu City 3,Postpaid,1,Slow Internet,Resolved,12,3.78,35
AIR103079,2025-11-15,Delhi,Delhi City 1,Prepaid,1,Slow Internet,Pending,17.3,3.35,11
AIR103080,2025-12-15,Tamil Nadu,Tamil Nadu City 2,Postpaid,0,Network Issues,No Complaint,22.8,3.44,17
AIR103081,2025-02-15,Gujarat,Gujarat City 2,Prepaid,1,Network Issues,Resolved,12.4,2.79,-9
AIR103082,2025-03-15,Delhi,Delhi City 1,Prepaid,0,Network Issues,No Complaint,7.7,3.2,6
AIR103083,2025-04-15,Kerala,Kerala City 2,Broadband,0,Slow Internet,No Complaint,1,2.78,-11
AIR103084,2025-05-15,Kerala,Kerala City 2,Postpaid,1,Slow Internet,Resolved,20.4,2.82,-8
AIR103085,2025-06-15,Rajasthan,Rajasthan City 2,Broadband,0,Billing Issues,No Complaint,13.8,4.01,26
AIR103086,2025-07-15,Tamil Nadu,Tamil Nadu City 3,Broadband,0,Network Issues,No Complaint,9.7,3.23,0
AIR103087,2025-08-15,Karnataka,Karnataka City 1,Prepaid,1,Call Drops,Resolved,11,3.34,4
AIR103088,2025-09-15,Gujarat,Gujarat City 1,Prepaid,0,Billing Issues,No Complaint,33.2,4.1,31
AIR103089,2025-10-15,Kerala,Kerala City 1,Prepaid,0,Slow Internet,No Complaint,6,4.15,38
AIR103090,2025-11-15,Telangana,Telangana City 2,Broadband,0,Slow Internet,No Complaint,3.5,4.39,38
AIR103091,2025-12-15,Maharashtra,Maharashtra City 3,Broadband,1,Slow Internet,Resolved,21.3,2.63,-29
AIR103092,2025-02-15,Maharashtra,Maharashtra City 1,Postpaid,0,Billing Issues,No Complaint,21.5,2.8,-15
AIR103093,2025-03-15,Uttar Pradesh,Uttar Pradesh City 2,Prepaid,1,Slow Internet,Pending,25.9,3.9,36
AIR103094,2025-04-15,Karnataka,Karnataka City 3,Prepaid,0,Network Issues,No Complaint,4.2,2.83,-17
AIR103095,2025-05-15,Maharashtra,Maharashtra City 3,Broadband,1,Slow Internet,In Progress,43,4.26,45
AIR103096,2025-06-15,Uttar Pradesh,Uttar Pradesh City 1,Broadband,0,Network Issues,No Complaint,25.8,3.38,8
AIR103097,2025-07-15,Tamil Nadu,Tamil Nadu City 1,Prepaid,1,Call Drops,In Progress,45.8,3.32,9
AIR103098,2025-08-15,Kerala,Kerala City 2,Prepaid,0,Network Issues,No Complaint,36.1,3.64,13
AIR103099,2025-09-15,Kerala,Kerala City 1,Prepaid,0,Slow Internet,No Complaint,19.2,4.82,84
AIR103100,2025-10-15,Telangana,Telangana City 2,Prepaid,0,Slow Internet,No Complaint,6,3.49,12
AIR103101,2025-11-15,Delhi,Delhi City 3,Broadband,1,Slow Internet,Resolved,51.2,3.19,-2
AIR103102,2025-12-15,Maharashtra,Maharashtra City 3,Postpaid,1,Network Issues,Resolved,10.6,3.44,17
AIR103103,2025-02-15,Tamil Nadu,Tamil Nadu City 3,Postpaid,1,Network Issues,Resolved,36.9,3.41,25
AIR103104,2025-03-15,West Bengal,West Bengal City 3,Prepaid,0,Network Issues,No Complaint,29.9,3.34,14
AIR103105,2025-04-15,Maharashtra,Maharashtra City 1,Prepaid,0,Call Drops,No Complaint,22.8,3.76,44
AIR103106,2025-05-15,Karnataka,Karnataka City 1,Prepaid,0,Network Issues,No Complaint,6.8,4.21,49
AIR103107,2025-06-15,Delhi,Delhi City 2,Postpaid,0,Network Issues,No Complaint,15.6,3.45,19
AIR103108,2025-07-15,Maharashtra,Maharashtra City 2,Postpaid,0,Call Drops,No Complaint,25.3,3.88,36
AIR103109,2025-08-15,Tamil Nadu,Tamil Nadu City 2,Prepaid,0,Slow Internet,No Complaint,7.2,4.14,45
AIR103110,2025-09-15,Maharashtra,Maharashtra City 2,Prepaid,0,Call Drops,No Complaint,11.2,4.21,38
AIR103111,2025-10-15,Karnataka,Karnataka City 2,Prepaid,0,Others,No Complaint,25.3,3.79,25
AIR103112,2025-11-15,West Bengal,West Bengal City 3,Prepaid,0,Slow Internet,No Complaint,15,4.4,45
AIR103113,2025-12-15,Gujarat,Gujarat City 3,Postpaid,0,Network Issues,No Complaint,27.1,4.36,52
AIR103114,2025-02-15,Rajasthan,Rajasthan City 3,Postpaid,0,Slow Internet,No Complaint,3.6,4.05,28
AIR103115,2025-03-15,West Bengal,West Bengal City 2,Prepaid,0,Network Issues,No Complaint,19,3.19,2
AIR103116,2025-04-15,Uttar Pradesh,Uttar Pradesh City 3,Broadband,1,Network Issues,Resolved,5,2.83,3
AIR103117,2025-05-15,Maharashtra,Maharashtra City 3,Postpaid,0,Slow Internet,No Complaint,40.3,3.83,37
AIR103118,2025-06-15,Kerala,Kerala City 3,Prepaid,1,Call Drops,Resolved,19.8,3.91,36
AIR103119,2025-07-15,Telangana,Telangana City 3,Prepaid,1,Billing Issues,Pending,16.8,4.17,43
AIR103120,2025-08-15,Kerala,Kerala City 1,Broadband,1,Slow Internet,Resolved,45.7,3.32,13
AIR103121,2025-09-15,West Bengal,West Bengal City 2,Postpaid,0,Network Issues,No Complaint,11.8,3.47,13
AIR103122,2025-10-15,Kerala,Kerala City 2,Prepaid,0,Network Issues,No Complaint,11.2,3.96,14
AIR103123,2025-11-15,Tamil Nadu,Tamil Nadu City 1,Postpaid,0,Network Issues,No Complaint,23.1,3.87,42
AIR103124,2025-12-15,Kerala,Kerala City 3,Prepaid,0,Call Drops,No Complaint,5.1,2.78,-18
AIR103125,2025-02-15,Delhi,Delhi City 3,Broadband,1,Network Issues,Resolved,4.9,3.03,4
AIR103126,2025-03-15,Gujarat,Gujarat City 3,Broadband,0,Network Issues,No Complaint,10.7,3.85,33
AIR103127,2025-04-15,Maharashtra,Maharashtra City 2,Postpaid,0,Billing Issues,No Complaint,14.8,3.21,16
AIR103128,2025-05-15,Kerala,Kerala City 2,Postpaid,0,Network Issues,No Complaint,4.6,2.5,-14
AIR103129,2025-06-15,Karnataka,Karnataka City 2,Prepaid,0,Slow Internet,No Complaint,28.5,3.49,32
AIR103130,2025-07-15,Gujarat,Gujarat City 2,Postpaid,0,Call Drops,No Complaint,18.8,3.98,39
AIR103131,2025-08-15,Gujarat,Gujarat City 2,Postpaid,0,Network Issues,No Complaint,10.4,3.72,6
AIR103132,2025-09-15,Kerala,Kerala City 1,Postpaid,0,Call Drops,No Complaint,18,3.44,7
AIR103133,2025-10-15,Gujarat,Gujarat City 2,Postpaid,1,Others,Resolved,11.9,3.94,36
AIR103134,2025-11-15,Telangana,Telangana City 3,Broadband,1,Network Issues,Resolved,16.8,3.56,22
AIR103135,2025-12-15,Kerala,Kerala City 2,Prepaid,0,Billing Issues,No Complaint,49.5,3.72,25
AIR103136,2025-02-15,Tamil Nadu,Tamil Nadu City 1,Prepaid,0,Network Issues,No Complaint,22.7,4.61,68
AIR103137,2025-03-15,West Bengal,West Bengal City 3,Postpaid,0,Network Issues,No Complaint,3.9,3.21,-7
AIR103138,2025-04-15,Delhi,Delhi City 1,Broadband,1,Slow Internet,Resolved,7.8,3.9,41
AIR103139,2025-05-15,Rajasthan,Rajasthan City 3,Broadband,1,Call Drops,Resolved,31.7,3.75,34
AIR103140,2025-06-15,Uttar Pradesh,Uttar Pradesh City 2,Postpaid,0,Network Issues,No Complaint,6.7,4.36,36
AIR103141,2025-07-15,Gujarat,Gujarat City 1,Broadband,0,Network Issues,No Complaint,3,3.3,3
AIR103142,2025-08-15,Tamil Nadu,Tamil Nadu City 3,Postpaid,0,Network Issues,No Complaint,18.7,3.54,13
AIR103143,2025-09-15,Maharashtra,Maharashtra City 2,Prepaid,1,Network Issues,In Progress,10.5,3.17,5
AIR103144,2025-10-15,Maharashtra,Maharashtra City 3,Postpaid,1,Slow Internet,Resolved,9.7,3.34,7
AIR103145,2025-11-15,Uttar Pradesh,Uttar Pradesh City 1,Prepaid,0,Slow Internet,No Complaint,40.7,3.41,14
AIR103146,2025-12-15,Delhi,Delhi City 1,Prepaid,0,Slow Internet,No Complaint,11.4,3.18,-2
AIR103147,2025-02-15,Gujarat,Gujarat City 1,Prepaid,0,Slow Internet,No Complaint,5.6,3.2,1
AIR103148,2025-03-15,Telangana,Telangana City 1,Prepaid,0,Network Issues,No Complaint,10,3.08,-6
AIR103149,2025-04-15,Uttar Pradesh,Uttar Pradesh City 2,Prepaid,1,Slow Internet,Resolved,12.5,3.46,16
AIR103150,2025-05-15,Delhi,Delhi City 3,Prepaid,1,Network Issues,Resolved,11.4,4.09,21
AIR103151,2025-06-15,Gujarat,Gujarat City 2,Prepaid,0,Call Drops,No Complaint,12.4,3.37,32
AIR103152,2025-07-15,Tamil Nadu,Tamil Nadu City 1,Prepaid,0,Call Drops,No Complaint,13,3.85,30
AIR103153,2025-08-15,West Bengal,West Bengal City 3,Postpaid,0,Network Issues,No Complaint,15.6,3.38,4
AIR103154,2025-09-15,Telangana,Telangana City 1,Postpaid,0,Call Drops,No Complaint,18.6,3.29,11
AIR103155,2025-10-15,Rajasthan,Rajasthan City 2,Broadband,1,Call Drops,In Progress,11.2,3.61,31
AIR103156,2025-11-15,Maharashtra,Maharashtra City 2,Broadband,0,Slow Internet,No Complaint,30.1,2.95,2
AIR103157,2025-12-15,Karnataka,Karnataka City 2,Prepaid,0,Slow Internet,No Complaint,12.6,3.65,12
AIR103158,2025-02-15,Tamil Nadu,Tamil Nadu City 3,Postpaid,0,Slow Internet,No Complaint,20.9,3.63,21
AIR103159,2025-03-15,Maharashtra,Maharashtra City 3,Prepaid,0,Others,No Complaint,17.6,3.75,35
AIR103160,2025-04-15,Kerala,Kerala City 1,Prepaid,0,Network Issues,No Complaint,16.8,3.18,3
AIR103161,2025-05-15,Karnataka,Karnataka City 3,Postpaid,0,Call Drops,No Complaint,3.7,3.48,18
AIR103162,2025-06-15,Maharashtra,Maharashtra City 3,Postpaid,0,Network Issues,No Complaint,37.2,3.17,2
AIR103163,2025-07-15,Delhi,Delhi City 2,Broadband,0,Billing Issues,No Complaint,2.3,3.84,33
AIR103164,2025-08-15,Telangana,Telangana City 1,Postpaid,1,Slow Internet,In Progress,18.9,3.39,21
AIR103165,2025-09-15,Maharashtra,Maharashtra City 2,Prepaid,0,Call Drops,No Complaint,16.7,3.23,31
AIR103166,2025-10-15,Rajasthan,Rajasthan City 1,Broadband,0,Call Drops,No Complaint,14.8,3.46,15
AIR103167,2025-11-15,West Bengal,West Bengal City 1,Postpaid,0,Others,No Complaint,19.1,3.02,1
AIR103168,2025-12-15,Delhi,Delhi City 3,Broadband,1,Call Drops,Resolved,5.5,3.51,18
AIR103169,2025-02-15,Tamil Nadu,Tamil Nadu City 2,Postpaid,0,Network Issues,No Complaint,16.8,3.42,15
AIR103170,2025-03-15,Tamil Nadu,Tamil Nadu City 3,Prepaid,0,Network Issues,No Complaint,19.3,2.95,12
AIR103171,2025-04-15,Tamil Nadu,Tamil Nadu City 3,Prepaid,0,Slow Internet,No Complaint,5.7,3.08,7
AIR103172,2025-05-15,Tamil Nadu,Tamil Nadu City 3,Prepaid,0,Network Issues,No Complaint,11.2,3.47,13
AIR103173,2025-06-15,West Bengal,West Bengal City 1,Prepaid,0,Slow Internet,No Complaint,1.5,4.26,48
AIR103174,2025-07-15,Maharashtra,Maharashtra City 2,Prepaid,0,Slow Internet,No Complaint,14.8,3.47,20
AIR103175,2025-08-15,Gujarat,Gujarat City 2,Postpaid,1,Slow Internet,Resolved,14.1,3.52,6
