Customer_ID,Join_Date,State,City,Network_Type,Customer_Segment,Tenure_Years
AIR101638,2019-07-08,Rajasthan,Rajasthan City 3,4G,Postpaid,6.4
AIR101639,2023-11-24,Telangana,Telangana City 3,4G,Postpaid,2.1
AIR101640,2023-04-21,Rajasthan,Rajasthan City 2,5G,Prepaid,1.8
AIR101641,2021-05-19,Karnataka,Karnataka City 3,4G,Postpaid,3.8
AIR101642,2023-05-11,West Bengal,West Bengal City 3,4G,Postpaid,1.9
AIR101643,2022-08-29,West Bengal,West Bengal City 3,4G,Prepaid,2.7
AIR101644,2022-04-07,Karnataka,Karnataka City 1,4G,Broadband,3.2
AIR101645,2024-12-18,Delhi,Delhi City 1,4G,Prepaid,0.6
AIR101646,2020-11-08,Telangana,Telangana City 1,4G,Prepaid,4.8
AIR101647,2021-08-06,Delhi,Delhi City 3,4G,Prepaid,4.1
AIR101648,2023-05-07,Delhi,Delhi City 2,4G,Prepaid,2.4
AIR101649,2019-06-01,Gujarat,Gujarat City 1,4G,Prepaid,6.5
AIR101650,2021-07-10,Uttar Pradesh,Uttar Pradesh City 2,4G,Enterprise,4.4
AIR101651,2022-02-02,Gujarat,Gujarat City 3,4G,Prepaid,3
AIR101652,2022-01-20,Uttar Pradesh,Uttar Pradesh City 1,4G,Postpaid,3.1
AIR101653,2020-12-13,Maharashtra,Maharashtra City 3,4G,Prepaid,4.3
AIR101654,2021-03-15,Rajasthan,Rajasthan City 2,5G,Postpaid,4.2
AIR101655,2024-03-23,Uttar Pradesh,Uttar Pradesh City 1,4G,Enterprise,1.2
AIR101656,2020-03-07,Karnataka,Karnataka City 1,4G,Prepaid,5.4
AIR101657,2023-05-22,Gujarat,Gujarat City 1,4G,Broadband,2.2
AIR101658,2022-08-21,Telangana,Telangana City 1,4G,Enterprise,3.1
AIR101659,2019-01-28,Rajasthan,Rajasthan City 2,4G,Postpaid,6.7
AIR101660,2022-08-04,Maharashtra,Maharashtra City 1,5G,Prepaid,3.3
AIR101661,2019-12-21,Uttar Pradesh,Uttar Pradesh City 3,4G,Postpaid,6
AIR101662,2024-02-06,Maharashtra,Maharashtra City 1,4G,Broadband,1
AIR101663,2024-06-27,Telangana,Telangana City 2,5G,Prepaid,0.7
AIR101664,2024-12-23,Delhi,Delhi City 1,5G,Postpaid,0.3
AIR101665,2019-06-03,West Bengal,West Bengal City 2,5G,Prepaid,5.9
AIR101666,2023-01-26,Telangana,Telangana City 2,5G,Prepaid,2.4
AIR101667,2021-03-26,Kerala,Kerala City 3,5G,Broadband,4.3
AIR101668,2022-01-24,Telangana,Telangana City 1,4G,Prepaid,3.6
AIR101669,2024-11-25,Maharashtra,Maharashtra City 1,4G,Prepaid,0.8
AIR101670,2021-12-05,Karnataka,Karnataka City 1,4G,Postpaid,3.9
AIR101671,2022-04-24,Gujarat,Gujarat City 3,5G,Prepaid,3.6
AIR101672,2020-03-29,Karnataka,Karnataka City 3,5G,Prepaid,5.7
AIR101673,2022-01-11,Maharashtra,Maharashtra City 2,4G,Postpaid,3.1
AIR101674,2022-09-12,Gujarat,Gujarat City 2,4G,Prepaid,2.5
AIR101675,2020-03-24,Kerala,Kerala City 2,5G,Prepaid,5.1
AIR101676,2019-11-17,West Bengal,West Bengal City 3,5G,Prepaid,5.5
AIR101677,2022-03-14,Rajasthan,Rajasthan City 3,4G,Postpaid,3.3
AIR101678,2019-10-05,Maharashtra,Maharashtra City 3,5G,Broadband,5.8
AIR101679,2021-11-03,Uttar Pradesh,Uttar Pradesh City 2,4G,Broadband,3.8
AIR101680,2020-02-18,Maharashtra,Maharashtra City 3,4G,Prepaid,5.6
AIR101681,2019-02-16,Maharashtra,Maharashtra City 2,4G,Postpaid,6.7
AIR101682,2024-04-23,Gujarat,Gujarat City 2,4G,Broadband,1.6
AIR101683,2020-10-17,Tamil Nadu,Tamil Nadu City 1,4G,Prepaid,5.2
AIR101684,2023-03-24,Telangana,Telangana City 1,5G,Broadband,1.9
AIR101685,2022-09-09,Tamil Nadu,Tamil Nadu City 1,5G,Broadband,2.5
AIR101686,2023-12-31,Kerala,Kerala City 2,5G,Prepaid,1.3
AIR101687,2022-08-09,Uttar Pradesh,Uttar Pradesh City 1,4G,Prepaid,2.8
AIR101688,2022-01-12,West Bengal,West Bengal City 1,4G,Prepaid,3.4
AIR101689,2022-10-28,Delhi,Delhi City 1,4G,Prepaid,2.7
AIR101690,2021-06-27,Kerala,Kerala City 3,4G,Broadband,4.1
AIR101691,2019-11-12,Delhi,Delhi City 2,4G,Broadband,5.8
AIR101692,2024-05-21,Delhi,Delhi City 1,4G,Prepaid,1.4
AIR101693,2019-08-09,West Bengal,West Bengal City 3,4G,Postpaid,6.3
AIR101694,2024-04-29,Karnataka,Karnataka City 3,5G,Postpaid,1.6
AIR101695,2021-04-24,Tamil Nadu,Tamil Nadu City 3,4G,Prepaid,3.8
AIR101696,2023-02-23,Maharashtra,Maharashtra City 1,5G,Postpaid,2.1
AIR101697,2022-01-13,Rajasthan,Rajasthan City 3,4G,Broadband,3.3
AIR101698,2021-10-24,Delhi,Delhi City 2,5G,Prepaid,3.6
AIR101699,2023-09-27,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,1.7
AIR101700,2022-05-23,Kerala,Kerala City 3,4G,Prepaid,3.1
AIR101701,2022-09-21,Karnataka,Karnataka City 3,4G,Prepaid,2.9
AIR101702,2022-04-05,Delhi,Delhi City 3,5G,Prepaid,3.4
AIR101703,2019-10-14,Karnataka,Karnataka City 2,4G,Prepaid,6
AIR101704,2024-04-27,Karnataka,Karnataka City 1,4G,Postpaid,1.6
AIR101705,2024-12-14,Delhi,Delhi City 2,5G,Postpaid,1
AIR101706,2022-12-27,Gujarat,Gujarat City 2,4G,Prepaid,2.1
AIR101707,2022-01-14,Telangana,Telangana City 1,4G,Prepaid,3.2
AIR101708,2023-06-10,Uttar Pradesh,Uttar Pradesh City 3,4G,Broadband,1.8
AIR101709,2024-04-14,Maharashtra,Maharashtra City 1,4G,Broadband,1.1
AIR101710,2024-06-16,Maharashtra,Maharashtra City 1,4G,Prepaid,1
AIR101711,2020-09-14,Uttar Pradesh,Uttar Pradesh City 2,4G,Prepaid,4.8
AIR101712,2024-04-14,Gujarat,Gujarat City 1,4G,Broadband,1.3
AIR101713,2022-06-12,Maharashtra,Maharashtra City 3,4G,Prepaid,3.3
AIR101714,2020-02-10,Karnataka,Karnataka City 2,5G,Prepaid,5.7
AIR101715,2023-03-09,West Bengal,West Bengal City 3,4G,Prepaid,2.7
AIR101716,2023-10-02,Kerala,Kerala City 2,4G,Prepaid,2.2
AIR101717,2024-05-22,Tamil Nadu,Tamil Nadu City 3,4G,Prepaid,0.7
AIR101718,2024-07-16,Maharashtra,Maharashtra City 1,4G,Prepaid,0.7
AIR101719,2021-05-26,Uttar Pradesh,Uttar Pradesh City 1,4G,Postpaid,3.9
AIR101720,2019-11-04,West Bengal,West Bengal City 1,4G,Broadband,5.5
AIR101721,2019-12-11,Delhi,Delhi City 3,4G,Enterprise,5.5
AIR101722,2024-03-28,Telangana,Telangana City 2,5G,Prepaid,1.3
AIR101723,2021-02-23,Uttar Pradesh,Uttar Pradesh City 2,4G,Prepaid,4.5
AIR101724,2023-01-27,Karnataka,Karnataka City 2,4G,Postpaid,2.6
AIR101725,2021-03-06,Telangana,Telangana City 1,4G,Postpaid,4.6
AIR101726,2022-02-12,Kerala,Kerala City 3,4G,Prepaid,3.8
AIR101727,2020-03-25,Kerala,Kerala City 2,5G,Prepaid,5.7
AIR101728,2022-11-28,Gujarat,Gujarat City 3,4G,Prepaid,2.2
AIR101729,2023-07-28,Rajasthan,Rajasthan City 2,4G,Prepaid,1.6
AIR101730,2019-09-01,Gujarat,Gujarat City 1,4G,Prepaid,5.6
AIR101731,2024-10-13,West Bengal,West Bengal City 3,4G,Enterprise,0.6
AIR101732,2021-08-03,Telangana,Telangana City 2,4G,Prepaid,3.9
AIR101733,2024-06-06,Rajasthan,Rajasthan City 2,4G,Enterprise,1.1
AIR101734,2021-10-23,Delhi,Delhi City 2,4G,Broadband,3.8
AIR101735,2023-03-04,Karnataka,Karnataka City 2,4G,Prepaid,2.5
AIR101736,2024-08-12,Telangana,Telangana City 1,4G,Postpaid,1.2
AIR101737,2019-05-23,Gujarat,Gujarat City 2,4G,Postpaid,6.5
AIR101738,2023-11-19,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,2.1
AIR101739,2021-12-15,Rajasthan,Rajasthan City 1,4G,Prepaid,3.2
AIR101740,2019-03-02,Rajasthan,Rajasthan City 2,5G,Postpaid,6
AIR101741,2024-10-16,Karnataka,Karnataka City 3,4G,Postpaid,0.5
AIR101742,2019-03-20,Maharashtra,Maharashtra City 3,5G,Postpaid,6.2
AIR101743,2021-08-15,Kerala,Kerala City 2,4G,Postpaid,3.8
AIR101744,2020-01-25,Kerala,Kerala City 1,5G,Prepaid,5.5
AIR101745,2020-06-04,Tamil Nadu,Tamil Nadu City 1,4G,Postpaid,5.2
AIR101746,2023-08-03,West Bengal,West Bengal City 1,4G,Prepaid,2.1
AIR101747,2023-11-13,West Bengal,West Bengal City 2,5G,Postpaid,1.9
AIR101748,2019-09-10,Delhi,Delhi City 2,5G,Broadband,6.2
AIR101749,2023-09-11,Telangana,Telangana City 3,4G,Postpaid,2.3
AIR101750,2024-08-12,Uttar Pradesh,Uttar Pradesh City 1,4G,Postpaid,0.5
AIR101751,2020-11-26,Maharashtra,Maharashtra City 2,4G,Postpaid,4.3
AIR101752,2024-09-24,Gujarat,Gujarat City 2,5G,Postpaid,0.6
AIR101753,2024-01-02,Uttar Pradesh,Uttar Pradesh City 2,4G,Postpaid,1.4
AIR101754,2020-10-14,Uttar Pradesh,Uttar Pradesh City 1,4G,Prepaid,4.7
AIR101755,2023-02-14,Rajasthan,Rajasthan City 1,5G,Enterprise,2.4
AIR101756,2020-02-22,Tamil Nadu,Tamil Nadu City 3,5G,Prepaid,5.5
AIR101757,2021-09-28,Kerala,Kerala City 1,4G,Prepaid,4
AIR101758,2020-07-12,Delhi,Delhi City 2,4G,Prepaid,5.3
AIR101759,2021-07-19,West Bengal,West Bengal City 3,5G,Prepaid,4.3
AIR101760,2022-07-22,Tamil Nadu,Tamil Nadu City 1,4G,Postpaid,3.4
AIR101761,2020-08-17,Rajasthan,Rajasthan City 1,5G,Prepaid,4.5
AIR101762,2022-01-25,Gujarat,Gujarat City 1,4G,Broadband,3.1
AIR101763,2021-12-31,Delhi,Delhi City 1,4G,Prepaid,3.3
AIR101764,2019-08-04,Rajasthan,Rajasthan City 2,4G,Prepaid,5.8
AIR101765,2024-05-17,Kerala,Kerala City 1,4G,Prepaid,1.1
AIR101766,2024-11-18,Kerala,Kerala City 2,5G,Postpaid,0.7
AIR101767,2020-04-14,Kerala,Kerala City 2,4G,Broadband,5.3
AIR101768,2019-06-29,Tamil Nadu,Tamil Nadu City 2,5G,Postpaid,6.2
AIR101769,2023-01-23,Tamil Nadu,Tamil Nadu City 3,4G,Prepaid,2.7
AIR101770,2020-01-12,West Bengal,West Bengal City 2,4G,Enterprise,5.8
AIR101771,2024-01-02,West Bengal,West Bengal City 1,4G,Prepaid,2
AIR101772,2023-10-23,Gujarat,Gujarat City 3,4G,Postpaid,1.3
AIR101773,2023-02-11,Delhi,Delhi City 1,4G,Prepaid,2.1
AIR101774,2022-05-07,Karnataka,Karnataka City 2,5G,Prepaid,2.9
AIR101775,2021-04-28,Karnataka,Karnataka City 1,5G,Prepaid,4
AIR101776,2021-01-22,Rajasthan,Rajasthan City 3,4G,Prepaid,4.4
AIR101777,2019-09-07,Kerala,Kerala City 3,4G,Broadband,5.9
AIR101778,2020-10-02,Delhi,Delhi City 1,4G,Postpaid,4.9
AIR101779,2021-06-08,Uttar Pradesh,Uttar Pradesh City 1,5G,Broadband,4.3
AIR101780,2023-02-14,Tamil Nadu,Tamil Nadu City 1,5G,Postpaid,2.7
AIR101781,2021-02-09,Telangana,Telangana City 3,5G,Postpaid,4.8
AIR101782,2024-01-02,Maharashtra,Maharashtra City 2,4G,Postpaid,2
AIR101783,2024-05-24,Gujarat,Gujarat City 1,4G,Broadband,0.7
AIR101784,2020-04-25,Kerala,Kerala City 2,4G,Prepaid,4.9
AIR101785,2023-10-23,Kerala,Kerala City 3,4G,Prepaid,1.5
AIR101786,2023-11-12,Kerala,Kerala City 1,5G,Postpaid,1.5
AIR101787,2020-04-29,Tamil Nadu,Tamil Nadu City 1,4G,Enterprise,5.1
AIR101788,2024-09-05,Tamil Nadu,Tamil Nadu City 3,5G,Enterprise,0.9
AIR101789,2021-12-21,Maharashtra,Maharashtra City 1,5G,Postpaid,3.6
AIR101790,2024-07-10,Uttar Pradesh,Uttar Pradesh City 2,5G,Prepaid,1.2
AIR101791,2019-08-21,Delhi,Delhi City 3,5G,Prepaid,6.2
AIR101792,2023-01-27,Kerala,Kerala City 3,4G,Broadband,2.8
AIR101793,2019-12-15,Karnataka,Karnataka City 1,5G,Prepaid,6
AIR101794,2020-02-18,West Bengal,West Bengal City 3,4G,Prepaid,5
AIR101795,2023-09-07,Karnataka,Karnataka City 1,4G,Broadband,1.5
AIR101796,2022-08-06,Rajasthan,Rajasthan City 1,5G,Prepaid,2.7
AIR101797,2021-10-06,Karnataka,Karnataka City 3,4G,Postpaid,3.6
AIR101798,2019-10-14,Rajasthan,Rajasthan City 1,5G,Postpaid,5.7
AIR101799,2021-02-20,Telangana,Telangana City 2,4G,Prepaid,4.4
AIR101800,2019-12-23,West Bengal,West Bengal City 2,5G,Prepaid,5.6
AIR101801,2024-12-26,Karnataka,Karnataka City 1,4G,Prepaid,0.7
AIR101802,2023-03-15,Telangana,Telangana City 2,4G,Postpaid,2.6
AIR101803,2023-04-14,Gujarat,Gujarat City 1,4G,Postpaid,2.6
AIR101804,2022-04-21,Delhi,Delhi City 2,5G,Prepaid,3.7
AIR101805,2020-02-27,Telangana,Telangana City 3,4G,Enterprise,5
AIR101806,2020-02-01,Delhi,Delhi City 1,5G,Prepaid,5.1
AIR101807,2019-11-01,Karnataka,Karnataka City 1,4G,Prepaid,5.5
AIR101808,2021-11-08,Uttar Pradesh,Uttar Pradesh City 1,4G,Prepaid,3.5
AIR101809,2024-06-09,Telangana,Telangana City 1,4G,Prepaid,1
AIR101810,2022-06-07,West Bengal,West Bengal City 1,4G,Enterprise,3.1
AIR101811,2021-04-30,Karnataka,Karnataka City 1,5G,Prepaid,4.3
AIR101812,2023-06-20,Kerala,Kerala City 3,4G,Prepaid,2.2
AIR101813,2020-05-09,Tamil Nadu,Tamil Nadu City 3,4G,Broadband,5.4
AIR101814,2022-04-20,Telangana,Telangana City 2,4G,Postpaid,3.6
AIR101815,2020-05-19,West Bengal,West Bengal City 1,4G,Prepaid,5.6
AIR101816,2020-08-29,Gujarat,Gujarat City 2,4G,Broadband,4.5
AIR101817,2022-11-13,Kerala,Kerala City 2,5G,Postpaid,2.3
AIR101818,2022-08-09,Gujarat,Gujarat City 3,4G,Prepaid,2.7
AIR101819,2022-03-07,Karnataka,Karnataka City 2,4G,Postpaid,3.2
AIR101820,2023-04-29,Tamil Nadu,Tamil Nadu City 3,4G,Broadband,2.1
AIR101821,2023-10-28,Telangana,Telangana City 2,4G,Postpaid,1.7
AIR101822,2022-09-30,Telangana,Telangana City 1,4G,Postpaid,2.9
AIR101823,2019-02-06,Uttar Pradesh,Uttar Pradesh City 2,4G,Enterprise,6.6
AIR101824,2019-11-10,Uttar Pradesh,Uttar Pradesh City 3,5G,Postpaid,5.9
AIR101825,2019-08-08,Karnataka,Karnataka City 3,4G,Prepaid,6.3
AIR101826,2022-11-28,Karnataka,Karnataka City 3,4G,Prepaid,3
AIR101827,2023-09-15,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,1.4
AIR101828,2024-04-16,Uttar Pradesh,Uttar Pradesh City 2,4G,Prepaid,0.9
AIR101829,2020-02-08,West Bengal,West Bengal City 3,5G,Enterprise,5.2
AIR101830,2020-04-23,West Bengal,West Bengal City 1,4G,Prepaid,5.1
AIR101831,2021-04-03,Tamil Nadu,Tamil Nadu City 1,5G,Postpaid,4.2
AIR101832,2019-08-08,West Bengal,West Bengal City 2,4G,Postpaid,5.9
AIR101833,2022-05-04,Rajasthan,Rajasthan City 2,4G,Postpaid,3.3
AIR101834,2021-09-10,Delhi,Delhi City 3,4G,Prepaid,4
AIR101835,2020-11-14,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,4.9
AIR101836,2023-09-07,Tamil Nadu,Tamil Nadu City 2,4G,Postpaid,2.2
AIR101837,2024-05-23,Maharashtra,Maharashtra City 3,4G,Broadband,1.6
AIR101838,2023-10-26,Kerala,Kerala City 3,4G,Postpaid,1.3
AIR101839,2021-09-30,Kerala,Kerala City 2,4G,Prepaid,3.5
AIR101840,2021-04-08,Rajasthan,Rajasthan City 1,4G,Prepaid,4
AIR101841,2021-01-12,Uttar Pradesh,Uttar Pradesh City 2,4G,Broadband,4.3
AIR101842,2022-02-07,Karnataka,Karnataka City 1,5G,Broadband,3.4
AIR101843,2022-01-28,Karnataka,Karnataka City 1,4G,Prepaid,3.5
AIR101844,2023-10-02,Gujarat,Gujarat City 1,5G,Postpaid,1.9
AIR101845,2022-05-19,Rajasthan,Rajasthan City 3,4G,Prepaid,3.3
AIR101846,2024-02-04,Tamil Nadu,Tamil Nadu City 3,4G,Postpaid,1.7
AIR101847,2020-11-05,Rajasthan,Rajasthan City 3,4G,Broadband,5
AIR101848,2022-11-18,Rajasthan,Rajasthan City 2,4G,Prepaid,3.1
AIR101849,2022-06-22,Rajasthan,Rajasthan City 3,4G,Postpaid,2.7
AIR101850,2021-09-28,Kerala,Kerala City 3,4G,Prepaid,3.5
AIR101851,2020-09-15,Rajasthan,Rajasthan City 2,4G,Prepaid,4.6
AIR101852,2019-04-09,Delhi,Delhi City 2,4G,Postpaid,6.1
AIR101853,2022-01-31,Karnataka,Karnataka City 1,5G,Prepaid,3.4
AIR101854,2024-08-21,Gujarat,Gujarat City 2,4G,Postpaid,0.9
AIR101855,2024-03-31,Delhi,Delhi City 2,4G,Prepaid,1.4
AIR101856,2022-06-03,Gujarat,Gujarat City 3,4G,Postpaid,3.3
AIR101857,2019-06-28,Maharashtra,Maharashtra City 1,5G,Prepaid,6.3
AIR101858,2025-01-08,Gujarat,Gujarat City 1,4G,Postpaid,0.9
AIR101859,2021-04-14,Karnataka,Karnataka City 2,4G,Postpaid,4.7
AIR101860,2020-08-04,Karnataka,Karnataka City 3,5G,Enterprise,4.5
AIR101861,2022-10-08,Rajasthan,Rajasthan City 3,5G,Broadband,2.4
AIR101862,2022-12-11,Telangana,Telangana City 3,4G,Prepaid,2.3
AIR101863,2023-06-17,Maharashtra,Maharashtra City 3,4G,Prepaid,1.9
AIR101864,2023-05-13,Tamil Nadu,Tamil Nadu City 2,5G,Postpaid,2.1
AIR101865,2019-07-15,West Bengal,West Bengal City 3,5G,Postpaid,6
AIR101866,2021-07-24,Gujarat,Gujarat City 1,4G,Prepaid,4.1
AIR101867,2022-08-15,Telangana,Telangana City 1,4G,Prepaid,3.1
AIR101868,2021-08-14,Rajasthan,Rajasthan City 2,4G,Postpaid,4.2
AIR101869,2021-12-21,Kerala,Kerala City 3,4G,Broadband,3.9
AIR101870,2020-07-20,Tamil Nadu,Tamil Nadu City 3,5G,Broadband,5.4
AIR101871,2022-01-06,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,3.1
AIR101872,2021-06-05,Telangana,Telangana City 3,5G,Prepaid,3.8
AIR101873,2019-10-11,Kerala,Kerala City 2,5G,Prepaid,5.5
AIR101874,2021-12-16,Maharashtra,Maharashtra City 3,4G,Postpaid,3.4
AIR101875,2020-01-11,Rajasthan,Rajasthan City 2,4G,Postpaid,5.4
AIR101876,2021-02-26,Tamil Nadu,Tamil Nadu City 3,4G,Postpaid,4.4
AIR101877,2020-01-08,Tamil Nadu,Tamil Nadu City 3,4G,Postpaid,5.6
AIR101878,2021-05-06,Tamil Nadu,Tamil Nadu City 1,4G,Prepaid,4.4
AIR101879,2023-08-26,Maharashtra,Maharashtra City 2,4G,Prepaid,2.1
AIR101880,2024-11-03,Gujarat,Gujarat City 1,4G,Broadband,1
AIR101881,2019-04-09,Uttar Pradesh,Uttar Pradesh City 2,4G,Prepaid,6.7
AIR101882,2023-02-27,Maharashtra,Maharashtra City 3,5G,Prepaid,2
AIR101883,2024-04-13,West Bengal,West Bengal City 3,4G,Postpaid,0.9
AIR101884,2022-05-16,Uttar Pradesh,Uttar Pradesh City 2,4G,Postpaid,2.9
AIR101885,2020-09-16,Karnataka,Karnataka City 1,5G,Broadband,4.7
AIR101886,2019-03-24,Rajasthan,Rajasthan City 2,4G,Prepaid,6.2
AIR101887,2023-05-20,Maharashtra,Maharashtra City 2,4G,Postpaid,2.2
AIR101888,2019-01-01,Kerala,Kerala City 3,4G,Postpaid,6.6
AIR101889,2020-11-16,Uttar Pradesh,Uttar Pradesh City 1,5G,Broadband,4.8
AIR101890,2019-09-07,West Bengal,West Bengal City 2,4G,Postpaid,6.1
AIR101891,2020-02-14,Karnataka,Karnataka City 1,4G,Broadband,5.8
AIR101892,2022-11-10,Gujarat,Gujarat City 1,4G,Prepaid,3.1
AIR101893,2022-01-12,Kerala,Kerala City 2,4G,Postpaid,3.1
AIR101894,2020-05-04,Uttar Pradesh,Uttar Pradesh City 1,4G,Prepaid,4.9
AIR101895,2021-03-09,Rajasthan,Rajasthan City 3,4G,Prepaid,4.1
AIR101896,2021-07-31,Kerala,Kerala City 3,5G,Prepaid,3.8
AIR101897,2023-02-12,Karnataka,Karnataka City 3,5G,Postpaid,2.3
AIR101898,2024-06-17,Kerala,Kerala City 3,4G,Prepaid,1.1
AIR101899,2022-08-20,Delhi,Delhi City 1,4G,Broadband,3
AIR101900,2020-11-25,Telangana,Telangana City 3,4G,Postpaid,4.8
AIR101901,2019-05-15,Gujarat,Gujarat City 2,5G,Prepaid,6.4
AIR101902,2023-01-31,Karnataka,Karnataka City 3,4G,Postpaid,2.8
AIR101903,2019-07-05,Kerala,Kerala City 2,4G,Prepaid,6.4
AIR101904,2020-04-22,Telangana,Telangana City 2,5G,Prepaid,4.8
AIR101905,2019-01-01,Telangana,Telangana City 3,5G,Postpaid,6.2
AIR101906,2023-08-13,Kerala,Kerala City 3,4G,Broadband,1.7
AIR101907,2021-09-18,Rajasthan,Rajasthan City 1,5G,Postpaid,3.7
AIR101908,2019-09-27,Delhi,Delhi City 2,5G,Broadband,5.7
AIR101909,2019-07-14,Maharashtra,Maharashtra City 3,4G,Postpaid,6
AIR101910,2019-03-20,Delhi,Delhi City 1,4G,Prepaid,6.4
AIR101911,2022-01-26,Kerala,Kerala City 3,5G,Postpaid,3.6
AIR101912,2021-02-24,Gujarat,Gujarat City 3,4G,Postpaid,4.6
AIR101913,2020-03-22,Maharashtra,Maharashtra City 3,4G,Prepaid,5.7
AIR101914,2019-05-03,Karnataka,Karnataka City 2,4G,Broadband,6.6
AIR101915,2023-06-22,Delhi,Delhi City 3,5G,Postpaid,1.7
AIR101916,2023-05-01,Kerala,Kerala City 1,5G,Prepaid,1.9
AIR101917,2019-12-25,Delhi,Delhi City 3,4G,Enterprise,5.3
AIR101918,2023-11-01,Maharashtra,Maharashtra City 3,5G,Prepaid,1.5
AIR101919,2021-03-15,West Bengal,West Bengal City 1,5G,Broadband,4.3
AIR101920,2023-11-15,Uttar Pradesh,Uttar Pradesh City 1,5G,Prepaid,1.7
AIR101921,2023-04-03,Delhi,Delhi City 2,4G,Postpaid,2.4
AIR101922,2024-03-10,Karnataka,Karnataka City 2,4G,Postpaid,1.5
AIR101923,2020-10-30,Karnataka,Karnataka City 2,5G,Postpaid,5
AIR101924,2019-05-23,Tamil Nadu,Tamil Nadu City 2,4G,Prepaid,6.5
AIR101925,2024-12-09,Delhi,Delhi City 1,4G,Prepaid,1
AIR101926,2022-01-28,Uttar Pradesh,Uttar Pradesh City 3,5G,Prepaid,3
AIR101927,2019-10-11,Rajasthan,Rajasthan City 3,4G,Broadband,5.4
AIR101928,2020-01-19,Telangana,Telangana City 3,5G,Prepaid,5.2
AIR101929,2023-04-28,Uttar Pradesh,Uttar Pradesh City 2,4G,Postpaid,2
AIR101930,2019-07-06,Telangana,Telangana City 1,4G,Broadband,5.9
AIR101931,2020-09-15,Telangana,Telangana City 1,4G,Broadband,4.8
AIR101932,2020-06-28,West Bengal,West Bengal City 1,4G,Prepaid,5.1
AIR101933,2021-07-02,Tamil Nadu,Tamil Nadu City 3,4G,Broadband,4.2
AIR101934,2024-11-07,Uttar Pradesh,Uttar Pradesh City 2,5G,Prepaid,0.9
AIR101935,2021-08-17,Uttar Pradesh,Uttar Pradesh City 1,4G,Postpaid,4.2
AIR101936,2023-10-14,West Bengal,West Bengal City 2,4G,Postpaid,2.2
AIR101937,2024-12-03,Delhi,Delhi City 1,4G,Prepaid,0.2
AIR101938,2021-11-09,Delhi,Delhi City 2,4G,Prepaid,3.3
AIR101939,2024-12-19,Delhi,Delhi City 1,4G,Postpaid,0.3
AIR101940,2022-08-08,Gujarat,Gujarat City 2,4G,Prepaid,2.8
AIR101941,2024-07-30,Telangana,Telangana City 1,4G,Broadband,0.9
AIR101942,2022-10-09,Gujarat,Gujarat City 1,5G,Prepaid,2.8
AIR101943,2023-06-01,Tamil Nadu,Tamil Nadu City 2,4G,Broadband,2.2
AIR101944,2019-08-11,West Bengal,West Bengal City 2,5G,Postpaid,6.1
AIR101945,2020-03-11,Uttar Pradesh,Uttar Pradesh City 3,5G,Enterprise,5.6
AIR101946,2023-07-20,Telangana,Telangana City 2,5G,Postpaid,2.3
AIR101947,2019-11-23,Gujarat,Gujarat City 1,4G,Broadband,6.1
AIR101948,2022-05-17,Gujarat,Gujarat City 1,4G,Prepaid,2.8
AIR101949,2024-11-23,Kerala,Kerala City 2,4G,Postpaid,0.3
AIR101950,2020-07-20,Gujarat,Gujarat City 3,5G,Prepaid,4.7
AIR101951,2024-08-04,Rajasthan,Rajasthan City 2,4G,Prepaid,0.8
AIR101952,2020-09-21,Uttar Pradesh,Uttar Pradesh City 1,4G,Postpaid,4.7
AIR101953,2022-10-09,Rajasthan,Rajasthan City 1,4G,Postpaid,2.8
AIR101954,2020-12-25,Uttar Pradesh,Uttar Pradesh City 3,4G,Prepaid,4.6
AIR101955,2019-09-22,West Bengal,West Bengal City 2,4G,Postpaid,6
AIR101956,2023-01-27,Uttar Pradesh,Uttar Pradesh City 1,4G,Postpaid,2.7
AIR101957,2023-01-04,Rajasthan,Rajasthan City 1,4G,Prepaid,2.9
AIR101958,2022-07-31,Uttar Pradesh,Uttar Pradesh City 1,4G,Postpaid,3.4
AIR101959,2024-05-08,West Bengal,West Bengal City 2,4G,Postpaid,0.8
AIR101960,2020-11-29,West Bengal,West Bengal City 2,4G,Prepaid,4.3
AIR101961,2023-10-09,Tamil Nadu,Tamil Nadu City 3,4G,Postpaid,1.5
AIR101962,2023-02-27,Uttar Pradesh,Uttar Pradesh City 1,5G,Postpaid,2.2
AIR101963,2019-06-03,Kerala,Kerala City 1,4G,Broadband,6
AIR101964,2022-08-16,Delhi,Delhi City 3,5G,Prepaid,2.9
AIR101965,2021-03-21,Karnataka,Karnataka City 1,4G,Broadband,4.4
AIR101966,2019-05-31,West Bengal,West Bengal City 3,5G,Prepaid,6.3
AIR101967,2021-12-14,Maharashtra,Maharashtra City 3,4G,Prepaid,3.8
AIR101968,2021-02-17,Delhi,Delhi City 1,4G,Prepaid,4.7
AIR101969,2022-08-27,Telangana,Telangana City 2,4G,Broadband,3.3
AIR101970,2019-06-03,Uttar Pradesh,Uttar Pradesh City 2,5G,Postpaid,5.7
